System Id,System Name,System Size,Postcode,Number Of Panels,Panel Power,Panel Brand,Number Of Inverters,Inverter Power,Inverter Brand,Orientation,Array Tilt,Shade,Install Date,Latitude,Longitude,Status Interval
52375,4.05 kW SolarEdge,4050,2047,15,270,REC 270w multi-crystalline,1,5000,SolarEdge SE5000,N,25.0,No,20170706,-33.851056,151.154542,5
29577,4KW LG Solar & Enphase,4000,2066,16,250,LG Solar,16,270,Enphase,NW,1.0,Low,20140522,-33.814599,151.168722,5
55722,5.36kW LG + SolarEdge,5360,2066,16,335,LG,1,5000,SolarEdge,N,20.0,Medium,20171107,-33.814599,151.168722,5
70687,6/11 Wells St Annandale NSW,7848,2038,24,327,SunPower,1,8100,Fronts Primo 8.1,N,18.1,No,20190208,-33.881435,151.170681,5
8438,BardwellValley,6760,2207,28,195,Tianwei TW195(35)D-2,1,1700,SMA Sunny Boy 1700,NW,20.0,No,20120527,-33.93207,151.125594,5
41397,Beachside Beauty,9180,2031,36,255,Canadian Solar,36,215,Enphase m215,W,6.0,No,20151023,-33.912639,151.262021,5
13255,Byron Quills,5130,2194,27,190,NESL DJ190,1,4600,SB 5000TL-21,N,30.0,No,20110310,-33.913585,151.102457,10
54158,cleverhans,2310,2037,7,330,LG NeON 2 330W,7,330,Enphase S270,NW,1.0,Low,20170830,-33.881215,151.181127,5
72735,Dannevang,6600,2040,20,330,Q Cells Q.PEAK DUO-G5+,1,5000,SolarEdge SE5000H,EW,1.0,No,20200113,-33.879493,151.150563,5
65154,Dully Chill Micro Solar Farm,5360,2203,16,335,LG NeON-2,1,5000,SolarEdge SE5000H,EW,1.0,No,20190211,-33.904241,151.143319,5
176,ecosinger,1504,2049,8,188,Sharp NU-A188EY,1,1600,Sharp JH 1600E,N,30.0,Low,20100630,-33.894902,151.144413,10
52412,Enfield NSW,5400,2136,18,300,Trina,18,300,Enphase,NE,1.0,Low,20170529,-33.888328,151.103412,5
72288,Enfield South,10500,2136,30,350,LG neon,1,10000,Fronius,N,29.0,Low,20191221,-33.888328,151.103412,5
48885,flea,4940,2131,19,260,JA Solar,1,5000,Fronius Primo,NW,NaN,No,20161103,-33.889533,151.125862,5
32239,Garage475,4750,2031,19,250,Canadian Solar CS6P,1,4000,SMA Sunny Boy 4000,N,1.0,No,,-33.912639,151.262021,5
55434,GenSolar,10000,2065,40,250,AEF-6M-250P-60 + TN250P-60,2,5000,Solax and Solis,W,30.0,Low,20171110,-33.82609,151.199192,5
70830,Geoff in Bardwell,8400,2207,24,350,LG Neon 2,1,8000,SolarEdge SE8000H,NW,15.0,Low,20191017,-33.93207,151.125594,5
38742,Haberfield Pile,4940,2045,19,260,QCell pro G3 260,19,215,Enphase micro 215,N,22.0,No,20150622,-33.880496,151.138839,5
76398,Lam's Residence,8580,2207,26,330,Q.PEAK DUO-G5 330,1,50,Enphase,NW,23.0,No,,-33.93207,151.125594,5
70775,Marrickville System - Garage,5280,2204,16,330,Q-Cell Duo G5,1,4985,SolarEdge SE5000,NW,30.0,Low,20191014,-33.910923,151.157187,5
66542,More DOTs,7800,2207,24,325,LG NeON 2,1,6000,SOLAREDGE INVERTER SE6000SP,N,1.0,No,,-33.93207,151.125594,5
64779,Morgan Street,5890,2049,19,310,Canadian Solar,1,5000,SolarEdge SE5000,N,1.0,Low,20190206,-33.894902,151.144413,5
71919,MRUS,5900,2015,20,295,REC,1,5000,SolarEdge Single Phase,NW,1.0,Low,20190611,-33.897571,151.195567,5
41921,Newtown,3150,2042,10,315,Lg Neon LG315N1C-B3,10,250,Enphase M250,NW,35.0,No,20151117,-33.899362,151.171098,5
64444,Newtown2042,6935,2042,19,365,LG NeON R,1,8000,Solar Edge HD 8000,N,0.0,No,20190118,-33.899362,151.171098,5
80520,Nudibranch Central,5550,2049,15,370,Trina Honey,1,5000,Fronius,N,10.0,No,20201201,-33.894902,151.144413,5
507,Roof,2960,2000,16,185,Solar Enertech SE-185M,1,2800,Xantrex GT 2.8,N,1.0,No,,-33.861225,151.202735,5
33877,scubadiver,12900,2037,43,300,LG 300W Neon,43,11094,Enphase M250 G4,NW,15.0,No,20141205,-33.881215,151.181127,5
34256,scubadiver_neighbour,4950,2037,18,275,LG 275W,18,4500,Enphase M250 G4,NW,15.0,No,20141121,-33.881215,151.181127,5
73073,SolarEdge Drummoyne,7920,2047,24,330,LG Neon2,1,6000,SolarEdge HDWave 6000,NW,1.0,No,20200109,-33.851056,151.154542,5
67477,Summer Hill - Tesla Powerwall2,4440,2130,12,370,SPR-P3-370-BLK,12,4440,Enphase IQ7A,N,0.0,No,20110627,-33.894161,151.140214,5
453,Sunny Side,3040,2018,16,190,suntech,1,3000,SMS 3000TL,N,30.0,Low,20101117,-33.925133,151.213199,5
53701,Therry St. South Strathfield,3000,2136,10,300,TSM-300 PA14 Trina,1,50,Energy Monitor,N,1.0,No,20170807,-33.888328,151.103412,5
67458,Tokartron in Dulwich Hill SE,7670,2203,26,295,REC295TP2,1,6000,SE6000H,NE,1.0,No,20190514,-33.904241,151.143319,15
